# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    CMS_EXO_17_030                SR1: 196to203                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 203to210                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 210to217                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 217to224                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 224to231                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 231to238                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 238to245                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 245to252                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 252to259                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 259to266                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 266to273                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 273to280                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 280to287                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 287to294                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 294to301                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 301to308                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 308to315                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 315to322                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 322to329                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 329to336                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 336to343                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 343to350                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 350to357                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 357to364                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 364to371                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 371to378                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 378to385                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 385to392                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 392to399                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR1: 399to406                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 390to400                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 400to410                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 410to420                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 420to430                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 430to440                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 440to450                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 450to460                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 460to470                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 470to480                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 480to490                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 490to500                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 500to510                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 510to520                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 520to530                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 530to540                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 540to550                                               -1             -1              ||    0.0000000      0.0000000      
defaultset                    CMS_EXO_17_030                SR2: 550to560                                               -1             -1              ||    0.0000000      0.0000000      
